# 2theta	Imp/s
8.0	23.0
8.4	24.0
8.8	25.0
9.2	28.0
9.6	26.0
10.0	30.0
10.4	34.0
10.8	43.0
11.2	47.0
11.6	52.0
12.0	63.0
12.4	68.0
12.8	85.0
13.2	85.0
13.6	91.0
14.0	105.0
14.4	109.0
14.8	114.0
15.2	128.0
15.6	145.0
16.0	141.0
16.4	148.0
16.7	156.0
17.2	168.0
17.6	168.0
18.0	169.0
18.4	176.0
18.8	169.0
19.2	178.0
19.6	181.0
20.0	196.0
20.4	183.0
20.8	195.0
21.2	192.0
21.6	199.0
22.0	202.0
22.4	192.0
22.8	182.0
23.2	193.0
23.6	190.0
24.0	197.0
24.4	196.0
24.8	194.0
25.2	193.0
25.6	190.0
26.0	186.0
26.4	174.0
26.8	146.0
27.2	146.0
27.6	143.0
28.0	143.0
28.4	138.0
28.8	134.0
29.2	141.0
29.6	134.0
30.0	134.0
30.4	130.0
30.8	133.0
31.2	123.0
31.6	121.0
32.0	114.0
32.4	112.0
32.8	115.0
33.2	115.0
33.6	104.0
34.0	110.0
34.4	110.0
34.8	103.0
35.2	98.0
35.5	95.0
36.0	102.0
36.4	98.0
36.8	96.0
37.2	91.0
37.5	89.0
38.0	87.0
38.4	89.0
38.8	92.0
39.2	100.0
39.5	145.0
40.0	1073.0
40.4	974.0
40.8	171.0
41.2	122.0
41.5	103.0
42.0	105.0
42.4	103.0
42.8	103.0
43.2	108.0
43.6	128.0
44.0	199.0
44.4	2813.0
44.8	3834.0
45.2	1048.0
45.5	147.0
46.0	94.0
46.4	85.0
46.8	75.0
47.2	70.0
47.6	64.0
48.0	65.0
48.4	58.0
48.8	64.0
49.2	54.0
49.6	52.0
50.0	46.0
50.4	52.0
50.8	45.0
51.2	47.0
51.6	43.0
52.0	39.0
