Zählrohrwinkel	Rate bei 35kV mit Br
2*theta/°	R(35kV)/Imp/s

20,0	4,0
20,2	5,0
20,4	5,0
20,6	5,0
20,8	6,0
21,0	5,0
21,2	7,0
21,4	6,0
21,6	6,0
21,8	6,0
22,0	5,0
22,2	6,0
22,4	7,0
22,6	6,0
22,8	7,0
23,0	6,0
23,2	7,0
23,4	6,0
23,6	6,0
23,8	6,0
24,0	6,0
24,2	5,0
24,4	7,0
24,6	5,0
24,8	6,0
25,0	5,0
25,2	5,0
25,4	6,0
25,6	6,0
25,8	7,0
26,0	7,0
26,2	9,0
26,4	11,0
26,6	11,0
26,8	12,0
27,0	10,0
27,2	11,0
27,4	10,0
27,6	10,0
27,8	9,0
28,0	11,0
28,2	9,0
28,4	9,0
28,6	9,0
28,8	7,0
29,0	7,0
29,2	7,0
29,4	7,0
29,6	6,0
29,8	6,0
30,0	6,0
30,2	6,0
30,4	5,0
30,6	5,0
30,8	4,0
