Zählrohrwinkel	Rate bei 35kV mit Hg
2*theta/°	R(35kV)/Imp/s

4,0	13,0
4,2	10,0
4,4	8,0
4,6	6,0
4,8	5,0
5,0	4,0
5,2	5,0
5,4	4,0
5,6	4,0
5,8	4,0
6,0	5,0
6,2	5,0
6,4	4,0
6,6	4,0
6,8	5,0
7,0	4,0
7,2	3,0
7,4	4,0
7,6	5,0
7,8	5,0
8,0	5,0
8,2	5,0
8,4	5,0
8,6	6,0
8,8	5,0
9,0	6,0
9,2	6,0
9,4	5,0
9,6	5,0
9,8	7,0
10,0	7,0
10,2	10,0
10,4	9,0
10,6	13,0
10,8	16,0
11,0	18,0
11,2	17,0
11,4	20,0
11,6	22,0
11,8	24,0
12,0	24,0
12,2	28,0
12,4	30,0
12,6	31,0
12,8	32,0
13,0	33,0
13,2	35,0
13,4	36,0
13,6	36,0
13,8	36,0
14,0	37,0
14,2	37,0
14,4	41,0
14,6	40,0
14,8	38,0
15,0	38,0
15,2	43,0
15,4	40,0
15,6	41,0
15,8	38,0
16,0	40,0
16,2	42,0
16,4	42,0
16,6	45,0
16,7	45,0
17,0	38,0
17,2	45,0
17,4	41,0
17,6	40,0
17,7	37,0
18,0	35,0
18,2	38,0
18,4	34,0
18,6	32,0
18,8	32,0
19,0	32,0
19,2	35,0
19,4	33,0
19,6	30,0
19,8	28,0
20,0	32,0
20,2	27,0
20,4	27,0
20,6	27,0
20,8	26,0
21,0	28,0
21,2	27,0
21,4	26,0
21,6	28,0
21,8	31,0
22,0	27,0
22,2	26,0
22,4	24,0
22,6	24,0
22,8	23,0
23,0	22,0
23,2	22,0
23,4	21,0
23,6	21,0
23,8	22,0
24,0	23,0
24,2	20,0
24,4	24,0
24,6	25,0
24,8	29,0
25,0	26,0
25,2	28,0
25,4	29,0
25,6	26,0
25,8	24,0
26,0	25,0
26,2	24,0
26,4	25,0
26,6	23,0
26,8	18,0
27,0	20,0
27,2	17,0
27,4	16,0
27,6	18,0
27,8	18,0
28,0	17,0
28,2	16,0
28,4	17,0
28,6	20,0
28,8	24,0
29,0	24,0
29,2	25,0
29,4	28,0
29,6	24,0
29,8	23,0
30,0	26,0
