Zählrohrwinkel	Rate bei 35kV mit Sr
2*theta/°	R(35kV)/Imp/s

14,0	31,0
14,2	41,0
14,4	41,0
14,6	38,0
14,8	44,0
15,0	38,0
15,2	42,0
15,4	43,0
15,6	42,0
15,8	46,0
16,0	46,0
16,2	40,0
16,4	40,0
16,6	45,0
16,7	37,0
17,0	37,0
17,2	42,0
17,4	40,0
17,6	39,0
17,7	38,0
18,0	36,0
18,2	38,0
18,4	37,0
18,6	37,0
18,8	39,0
19,0	37,0
19,2	35,0
19,4	34,0
19,6	32,0
19,8	35,0
20,0	31,0
20,2	30,0
20,4	31,0
20,6	31,0
20,8	29,0
21,0	30,0
21,2	29,0
21,4	33,0
21,6	45,0
21,8	58,0
22,0	76,0
22,2	89,0
22,4	92,0
22,6	96,0
22,8	88,0
23,0	85,0
23,2	91,0
23,4	80,0
23,6	89,0
23,8	85,0
24,0	84,0
24,2	79,0
24,4	81,0
24,6	72,0
24,8	76,0
25,0	75,0
25,2	67,0
25,4	69,0
25,6	66,0
25,8	64,0
26,0	61,0
26,2	57,0
26,4	56,0
26,6	50,0
26,8	48,0
27,0	45,0
27,2	42,0
27,4	43,0
27,6	42,0
27,8	43,0
28,0	40,0
28,2	38,0
28,4	41,0
28,6	37,0
28,8	35,0
29,0	37,0
29,2	35,0
29,4	33,0
29,6	31,0
29,8	32,0
30,0	30,0
30,2	31,0
30,4	27,0
30,6	27,0
30,8	26,0
31,0	27,0
31,2	26,0
31,4	23,0
31,6	26,0
31,8	24,0
32,0	23,0
