Zählrohrwinkel	Rate bei 35kV mit Zr
2*theta/°	R(35kV)/Imp/s

12,0	33,0
12,2	39,0
12,4	41,0
12,6	44,0
12,8	50,0
13,0	48,0
13,2	52,0
13,4	57,0
13,6	54,0
13,8	56,0
14,0	58,0
14,2	58,0
14,4	63,0
14,6	65,0
14,8	60,0
15,0	68,0
15,2	65,0
15,4	63,0
15,6	70,0
15,8	64,0
16,0	69,0
16,2	71,0
16,4	74,0
16,6	71,0
16,7	73,0
17,0	72,0
17,2	76,0
17,4	75,0
17,6	68,0
17,7	67,0
18,0	73,0
18,2	69,0
18,4	71,0
18,6	71,0
18,8	0,0
19,0	69,0
19,2	73,0
19,4	87,0
19,6	109,0
19,8	121,0
20,0	128,0
20,2	132,0
20,4	131,0
20,6	130,0
20,8	139,0
21,0	133,0
21,2	132,0
21,4	133,0
21,6	137,0
21,8	135,0
22,0	133,0
22,2	131,0
22,4	129,0
22,6	128,0
22,8	128,0
23,0	127,0
23,2	127,0
23,4	124,0
23,6	122,0
23,8	117,0
24,0	117,0
24,2	118,0
24,4	120,0
24,6	115,0
24,8	116,0
25,0	115,0
25,2	111,0
25,4	108,0
25,6	107,0
25,8	106,0
26,0	104,0
26,2	96,0
26,4	86,0
26,6	82,0
26,8	79,0
27,0	76,0
27,2	77,0
27,4	75,0
27,6	72,0
27,8	73,0
28,0	71,0
28,2	68,0
28,4	68,0
28,6	67,0
28,8	65,0
29,0	61,0
29,2	64,0
29,4	65,0
29,6	61,0
29,8	58,0
30,0	60,0
30,2	57,0
30,4	57,0
30,6	56,0
30,8	55,0
31,0	55,0
31,2	53,0
31,4	50,0
31,6	48,0
31,8	49,0
32,0	46,0
32,2	43,0
32,4	44,0
32,5	45,0
32,8	46,0
33,0	45,0
33,2	40,0
33,4	39,0
33,6	39,0
33,8	37,0
34,0	38,0
